emotion,dist_l,dist_r,dist_eyes,dist_mouth_nose,hght_mouth,wdth_mouth
o,70.8590149522,66.2721661031,159.028299368,110,83,182
o,62.8012738724,61.6603600379,159.050306507,109,73,190
o,66.4830805544,63.1981012373,166.027106221,112,70,191
n,84.4334057112,83.1685036537,142.014083809,88,61,208
o,65.1152823844,61.1310068623,160.028122529,112,69,185
o,64.3272881443,59.1354377679,162.00308639,110,72,181
o,66.9103878333,62.0725382114,162.00308639,112,74,189
n,84.7584804017,88.5663593019,140.032139168,85,69,209
n,85.492689746,106.404887106,143.055933117,83,69,217
n,83.2165848855,86.3133825082,140.0571312,81,71,213
h,85.9069263797,103.392456205,140.032139168,66,76,218
h,80.9938269253,86.3133825082,136.033084211,63,87,227
h,83.0060238778,84.0773453434,135.014814002,58,101,240
h,80.777472107,78.7146746166,141.014183684,61,111,244
h,77.6208734813,76.1577310586,141.014183684,62,118,240
o,24.6981780705,37.0135110466,131.061054475,62,124,235
o,46.0977222865,53.3385414124,126.003968191,66,93,219
o,47.6759897642,49.1629942131,126.0,73,90,217
o,47.6759897642,49.1629942131,126.0,73,90,217
o,54.5618914628,72.3463889907,134.033577883,99,101,182
o,55.542776308,83.486525859,134.134261097,104,99,181
o,66.9103878333,68.0955211449,124.486947107,68,131,209
o,63.9061812347,68.2641926635,141.014183684,98,113,170
o,73.0068489938,64.0078120232,151.052970841,89,100,196
o,73.0068489938,64.0078120232,151.052970841,89,100,196
o,69.1809222257,66.1211010193,153.05227865,104,105,178
o,67.0671305484,63.1981012373,156.012819986,97,96,188
o,66.1211010193,60.1331855135,155.051604313,92,81,197
o,74.6726188104,70.0,165.0,109,87,204
h,75.4254598925,70.0071424927,163.003067456,110,101,204
h,77.5241897733,72.0277724215,165.003030275,110,93,206
h,75.6637297521,71.0,165.012120767,107,75,202
o,74.8131004571,69.0289794217,167.002993985,109,77,208
o,74.5452882482,68.0,167.011975619,106,85,214
h,70.0357051796,65.1229606207,164.003048752,73,122,230
su,96.3327566303,93.776329636,159.050306507,109,132,211
n,81.5965685553,75.0266619276,163.003067456,92,41,223
n,101.212647431,84.8645980371,167.002993985,96,77,210
h,96.0416576283,87.8179936004,170.0,67,109,262
n,85.842879728,79.4040301244,171.011695506,96,67,214
h,75.6637297521,80.0562302385,167.026943934,94,69,227
h,84.480767042,84.8645980371,164.012194669,92,73,223
h,83.2946576918,86.005813757,158.012657721,96,73,229
h,87.1320836432,86.7294644282,164.012194669,96,95,230
h,94.5409963984,88.2553114549,173.0,104,110,228
su,100.603180864,91.1975876874,169.026625122,108,130,223
su,96.2548700067,87.0919054792,168.01190434,109,128,219
su,93.6482781475,92.4770241736,167.002993985,108,129,217
su,97.7394495585,94.2443632267,165.012120767,106,136,213
su,91.2414379545,90.0777441991,161.027947885,104,151,206
su,99.6092365195,95.3362470417,151.029798384,107,151,214
su,93.5360892918,91.0219753686,157.028659805,105,150,210
su,96.6281532474,97.3087868592,158.028478446,106,128,205
n,76.1642960973,76.9675256196,162.0,96,48,225
a,80.6535802057,75.6439025963,156.012819986,94,43,225
a,82.6377637645,100.419121685,152.003289438,95,45,223
a,79.5550124128,72.8010988928,158.0,93,44,228
a,81.3449445264,74.3236167042,157.012738337,93,44,225
a,90.426765949,74.6726188104,164.0,90,45,224
a,88.5889383614,76.8960337079,160.003124969,90,50,225
a,80.5046582503,78.5493475466,155.0,91,45,229
a,79.3788384899,77.1621668954,145.003448235,95,43,228
a,90.0499861188,74.6726188104,152.0,103,36,219
a,77.1621668954,71.8679344353,152.013157325,101,40,219
a,79.5550124128,73.3893725276,159.003144623,104,44,218
a,83.2946576918,78.9240140895,153.029408938,106,48,214
n,99.8498873309,84.3089556334,163.003067456,96,66,213
n,101.710373119,84.1546195999,162.00308639,92,72,210
n,100.498756211,84.1546195999,170.011764299,94,70,215
